股票代码,股票名称,行业,CPI系数,CPI显著性,M2系数,M2显著性,R²
603063,禾望电气,能源,-0.000483,不显著,-0.000359,不显著,0.0007
002518,科士达,能源,0.000885,不显著,-0.000190,不显著,0.0014
603118,共进股份,通讯,0.000303,不显著,-0.000457,不显著,0.0011
000063,中兴通讯,通讯,0.000832,显著,-0.000525,显著,0.0037
600036,招商银行,银行,-0.000585,显著,0.000065,不显著,0.0026
002142,宁波银行,银行,-0.000509,不显著,0.000022,不显著,0.0013
002594,比亚迪,汽车,0.000990,显著,-0.000136,不显著,0.0026
000002,万科A,房地产,0.000218,不显著,-0.000271,不显著,0.0008
600519,贵州茅台,白酒,0.000201,不显著,0.000095,不显著,0.0004
002352,顺丰控股,物流,0.001241,显著,-0.000659,显著,0.0125
